timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1626167805968,1248,登录,200,,线程组 1-91,text,false,"操作持续太长时间：他花费了1,248毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1248,0,0
1626167805134,2082,登录,200,,线程组 1-8,text,false,"操作持续太长时间：他花费了2,082毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,2082,0,0
1626167805547,1671,登录,200,,线程组 1-4,text,false,"操作持续太长时间：他花费了1,671毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1671,0,0
1626167805134,2084,登录,200,,线程组 1-32,text,false,"操作持续太长时间：他花费了2,084毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,2084,0,0
1626167805964,1255,登录,200,,线程组 1-15,text,false,"操作持续太长时间：他花费了1,255毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1255,0,0
1626167805548,1671,登录,200,,线程组 1-75,text,false,"操作持续太长时间：他花费了1,671毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1671,0,0
1626167805550,1671,登录,200,,线程组 1-3,text,false,"操作持续太长时间：他花费了1,671毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1671,0,0
1626167805550,1672,登录,200,,线程组 1-14,text,false,"操作持续太长时间：他花费了1,672毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1672,0,0
1626167805550,1672,登录,200,,线程组 1-70,text,false,"操作持续太长时间：他花费了1,672毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1672,0,0
1626167803875,3762,登录,200,,线程组 1-10,text,false,"操作持续太长时间：他花费了3,762毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3762,0,0
1626167803875,3766,登录,200,,线程组 1-59,text,false,"操作持续太长时间：他花费了3,766毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3766,0,0
1626167805759,1882,登录,200,,线程组 1-67,text,false,"操作持续太长时间：他花费了1,882毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1882,0,0
1626167803875,3766,登录,200,,线程组 1-90,text,false,"操作持续太长时间：他花费了3,766毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3766,0,0
1626167805762,1879,登录,200,,线程组 1-56,text,false,"操作持续太长时间：他花费了1,879毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1879,0,0
1626167805760,1881,登录,200,,线程组 1-49,text,false,"操作持续太长时间：他花费了1,881毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1881,0,0
1626167805767,1874,登录,200,,线程组 1-38,text,false,"操作持续太长时间：他花费了1,874毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1874,0,0
1626167805759,1882,登录,200,,线程组 1-1,text,false,"操作持续太长时间：他花费了1,882毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1882,0,0
1626167805762,1879,登录,200,,线程组 1-33,text,false,"操作持续太长时间：他花费了1,879毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1879,0,0
1626167803875,3766,登录,200,,线程组 1-39,text,false,"操作持续太长时间：他花费了3,766毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,3766,0,0
1626167805762,1879,登录,200,,线程组 1-42,text,false,"操作持续太长时间：他花费了1,879毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1879,0,0
1626167807219,425,登录,200,,线程组 1-32,text,true,,230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,425,0,0
1626167805762,1881,登录,200,,线程组 1-92,text,false,"操作持续太长时间：他花费了1,881毫秒，但不应该超过500毫秒。",230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,1881,0,0
1626167807219,628,登录,200,,线程组 1-4,text,false,操作持续太长时间：他花费了628毫秒，但不应该超过500毫秒。,230,547,100,100,http://manage.hysofthz.com/manage/CentreEmployee/login,628,0,0
